product name,New Price,Old Price,links,brand
Samsung Galaxy A56 5G - 256GB - 12GB RAM - Awesome Pink,"24,850EGP","27,999EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-256gb-12-gb-ram-awesome-pink,Samsung
Samsung Galaxy A06 - 128GB - 6GB RAM - Black,"6,180EGP","7,050EGP",https://www.mobilaty.com/en/samsung-galaxy-a06-128gb-6gb-ram-black,Samsung
Redmi Note 14 Pro - 512GB - 12GB RAM - Midnight Black,"17,499EGP","20,220EGP",https://www.mobilaty.com/en/redmi-note-14-pro-512gb-12gb-ram-midnight-black,Xiaomi
Redmi Note 14 4G - 128GB - 8GB RAM - Midnight Black,"9,299EGP","10,850EGP",https://www.mobilaty.com/en/redmi-note-14-4g-128gb-8gb-ram-midnight-black,Xiaomi
Redmi Note 14 Pro - 512GB - 12GB RAM - Ocean Blue,"17,499EGP","20,220EGP",https://www.mobilaty.com/en/redmi-note-14-pro-512gb-12gb-ram-ocean-blue,Xiaomi
Samsung Galaxy A36 5G - 128GB - 8GB RAM - Black,"16,350EGP","18,380EGP",https://www.mobilaty.com/en/samsung-galaxy-a36-5g-128gb-8gb-ram-black,Samsung
Samsung Galaxy A06 - 64GB - 4GB RAM - Light Blue,"4,750EGP","5,400EGP",https://www.mobilaty.com/en/samsung-galaxy-a06-64gb-4gb-ram-light-blue,Samsung
Samsung Galaxy A06 - 128GB - 6GB RAM - Gold,"6,180EGP","7,050EGP",https://www.mobilaty.com/en/samsung-galaxy-a06-128gb-6gb-ram-gold,Samsung
Samsung Galaxy A06 - 128GB - 6GB RAM - Light Blue,"6,180EGP","7,050EGP",https://www.mobilaty.com/en/samsung-galaxy-a06-128gb-6gb-ram-light-blue,Samsung
Redmi Note 14 Pro+ 5G - 256GB - 12GB RAM - Frost Blue,"21,999EGP","25,350EGP",https://www.mobilaty.com/en/redmi-note-14-pro-5g-256gb-frost-blue,Xiaomi
Redmi 13 - 128GB - 8GB RAM - Midnight Black,"6,899EGP","7,895EGP",https://www.mobilaty.com/en/redmi-13-128gb-8gb-ram-midnight-black,Xiaomi
Samsung Galaxy A56 5G - 256GB - 8GB RAM - Awesome Pink,"22,600EGP","25,700EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-256gb-8gb-ram-awesome-pink-1749717820,Samsung
Samsung Galaxy A17 - 4G - 256GB - 8GB RAM - Black,"9,775EGP","11,299EGP",https://www.mobilaty.com/en/samsung-galaxy-a17-4g-256gb-8gb-ram-black,Samsung
Redmi Note 14 Pro - 256GB - 8GB RAM - Midnight Black,"14,499EGP","16,550EGP",https://www.mobilaty.com/en/redmi-note-14-pro-256gb-8gb-ram-midnight-black,Xiaomi
Redmi A3 - 64GB - 3GB RAM - Forest Green,"4,299EGP","5,150EGP",https://www.mobilaty.com/en/redmi-a3-64gb-3gb-ram-forest-green,Xiaomi
Samsung Galaxy A17 - 4G - 128GB - 6GB RAM - Gray,"8,175EGP","9,499EGP",https://www.mobilaty.com/en/samsung-galaxy-a17-4g-128gb-6gb-ram-gray,Samsung
Samsung Galaxy A56 5G - 256GB - 8GB RAM - Awesome Olive,"22,600EGP","25,700EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-256gb-8gb-ram-awesome-olive,Samsung
Samsung Galaxy A06 - 128GB - 4GB RAM - Light Blue,"5,540EGP","6,300EGP",https://www.mobilaty.com/en/samsung-galaxy-a06-128gb-4gb-ram-light-blue,Samsung
Samsung Galaxy A56 5G - 256GB - 12GB RAM - Awesome Olive,"24,850EGP","27,999EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-256gb-12gb-ram-awesome-olive,Samsung
Samsung Galaxy A56 5G - 256GB - 8GB RAM - Awesome Light Gray,"22,600EGP","25,700EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-256gb-8gb-ram-awesome-light-gray,Samsung
Samsung Galaxy A26 5G - 128GB - 6GB RAM - Black,"12,499EGP","14,100EGP",https://www.mobilaty.com/en/samsung-galaxy-a26-5g-128gb-6gb-ram-black,Samsung
Samsung Galaxy M55 5G - 256GB - 8GB RAM - Black,"18,880EGP","22,150EGP",https://www.mobilaty.com/en/samsung-galaxy-m55-5g-256gb-8gb-ram-black,Samsung
Samsung Galaxy A26 5G - 256GB - 8GB RAM - Black,"14,599EGP","16,400EGP",https://www.mobilaty.com/en/samsung-galaxy-a26-5g-256gb-8gb-ram-black,Samsung
Honor X8c - 256GB - 8GB RAM - Midnight Black,"12,450EGP","14,110EGP",https://www.mobilaty.com/en/honor-x8c-256gb-midnight-black,Honor
Redmi Note 14 4G - 128GB - 8GB RAM - Sand Gold,"9,299EGP","10,850EGP",https://www.mobilaty.com/en/redmi-note-14-4g-128gb-8gb-ram-sand-gold,Xiaomi
Redmi Note 14 Pro - 256GB - 8GB RAM - Aurora Purple,"14,499EGP","16,550EGP",https://www.mobilaty.com/en/redmi-note-14-pro-256gb-8gb-ram-aurora-purple,Xiaomi
Redmi Note 14 Pro+ 5G -512GB - 12GB RAM - Sand Gold,"23,999EGP","27,999EGP",https://www.mobilaty.com/en/redmi-note-14-pro-5g-512gb-sand-gold,Xiaomi
Oppo A6 Pro 5G - 256GB - 8GB RAM - Rosweood Red,"16,990EGP","19,550EGP",https://www.mobilaty.com/en/oppo-a6-pro-5g-256gb-8gb-ram-rosweood-red,Oppo
Samsung Galaxy A56 5G - 256GB - 12GB RAM - Awesome Graphite,"24,850EGP","27,999EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-256gb-12-gb-ram-awesome-graphite-1747136881,Samsung
Samsung Galaxy A17 - 4G - 128GB - 6GB RAM - Light Blue,"8,175EGP","9,499EGP",https://www.mobilaty.com/en/samsung-galaxy-a17-4g-128gb-6gb-ram-light-blue,Samsung
Samsung Galaxy A17 - 4G - 256GB - 8GB RAM - Gray,"9,775EGP","11,299EGP",https://www.mobilaty.com/en/samsung-galaxy-a17-4g-256gb-8gb-ram-gray,Samsung
Vivo Y29 4G - 128GB - 8GB RAM - White,"8,490EGP","9,790EGP",https://www.mobilaty.com/en/vivo-y29-4g-128gb-8gb-ram-white,Vivo
Honor 400 5G - 512GB - 12GB RAM - Desert Gold,"23,299EGP","26,999EGP",https://www.mobilaty.com/en/honor-400-5g-512gb-12gb-ram-desert-gold-1752676477,Honor
Nothing CMF Phone 1 - 128GB - 8GB Ram - Light Green,"11,999EGP","13,799EGP",https://www.mobilaty.com/en/nothing-cmf-phone-1-128gb-8gb-ram-light-green,NOTHING
Nothing CMF Phone 1 - 128GB - 8GB Ram - Black,"11,999EGP","13,799EGP",https://www.mobilaty.com/en/nothing-cmf-phone-1-128gb-8gb-ram-black,NOTHING
Nothing Phone 3a - 128GB - 8GB Ram - Black,"19,999EGP","22,500EGP",https://www.mobilaty.com/en/nothing-phone-3a-128gb-8gb-ram-black,NOTHING
Honor 400 Lite - 256GB - 8GB RAM - Marrs Green,"13,199EGP","15,599EGP",https://www.mobilaty.com/en/honor-400-lite-256gb-8gb-ram-marrs-green-1757486805,Honor
Samsung Galaxy S25 Ultra - 256GB - 12GB RAM - Titanium Black,"65,199EGP","76,999EGP",https://www.mobilaty.com/en/samsung-galaxy-s25-ultra-256gb-12gb-ram-titanium-black,Samsung
Redmi A3x - 128GB - 4GB RAM - Midnight Black,"4,999EGP","5,700EGP",https://www.mobilaty.com/en/redmi-a3x-128gb-4gb-ram-midnight-black,Xiaomi
Oppo Reno 14F 5G - 256GB - 12GB RAM - Luminous Green,"19,990EGP","23,299EGP",https://www.mobilaty.com/en/oppo-reno-14f-5g-256gb-12gb-ram-luminous-green,Oppo
Oppo A6 Pro - 256GB - 8GB RAM - Rosweood Red,"14,990EGP","17,250EGP",https://www.mobilaty.com/en/oppo-a6-pro-256gb-8gb-ram-rosweood-red,Oppo
Samsung Galaxy A56 5G - 256GB - 8GB RAM - Awesome Graphite,"22,600EGP","25,700EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-256gb-8gb-ram-awesome-graphite,Samsung
Samsung Galaxy A36 5G - 256GB - 8GB RAM - Lavender,"18,100EGP","20,350EGP",https://www.mobilaty.com/en/samsung-galaxy-a36-5g-256gb-8gb-ram-lavender,Samsung
Samsung Galaxy A36 5G - 256GB - 8GB RAM - Lime,"18,100EGP","20,350EGP",https://www.mobilaty.com/en/samsung-galaxy-a36-5g-256gb-8gb-ram-lime,Samsung
Samsung Galaxy A36 5G - 128GB - 8GB RAM - White,"16,350EGP","18,380EGP",https://www.mobilaty.com/en/samsung-galaxy-a36-5g-128gb-8gb-ram-white,Samsung
Samsung Galaxy A56 5G - 128GB - 8GB RAM - Awesome Light Gray,"21,110EGP","23,999EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-128gb-8gb-ram-awesome-light-gray,Samsung
Samsung Galaxy A56 5G - 128GB - 8GB RAM - Awesome Olive,"21,110EGP","23,999EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-256gb-8gb-ram-awesome-olive-1749717820-1749719048,Samsung
Samsung Galaxy A36 5G - 128GB - 8GB RAM - Awesome Lime,"18,380EGP","9,499EGP",https://www.mobilaty.com/en/samsung-galaxy-a36-5g-128gb-8gb-ram-white-1749721713,Samsung
Samsung Galaxy A17 - 4G - 128GB - 6GB RAM - Black,"8,175EGP","11,299EGP",https://www.mobilaty.com/en/samsung-galaxy-a17-4g-128gb-6gb-ram-black,Samsung
Samsung Galaxy A17 - 4G - 256GB - 8GB RAM - Light Blue,"9,775EGP","8,799EGP",https://www.mobilaty.com/en/samsung-galaxy-a17-4g-256gb-8gb-ram-light-blue,Samsung
Vivo Y19s Pro - 256GB - 6GB RAM - Black,"7,590EGP","29,999EGP",https://www.mobilaty.com/en/vivo-y19s-pro-256gb-6gb-ram-black,Vivo
Vivo V60 5G - 256GB - 12GB RAM - Gold,"25,990EGP","22,150EGP",https://www.mobilaty.com/en/vivo-v60-5g-256gb-12gb-ram-gold,Vivo
Samsung Galaxy M55 5G - 256GB - 8GB RAM - Light Green,"18,880EGP","16,400EGP",https://www.mobilaty.com/en/samsung-galaxy-m55-5g-256gb-8gb-ram-light-green,Samsung
Samsung Galaxy A26 5G - 256GB - 8GB RAM - White,"14,599EGP","16,400EGP",https://www.mobilaty.com/en/samsung-galaxy-a26-5g-256gb-8gb-ram-white,Samsung
Samsung Galaxy A26 5G - 256GB - 8GB RAM - Peach Pink,"14,599EGP","24,750EGP",https://www.mobilaty.com/en/samsung-galaxy-a26-5g-256gb-8gb-ram-peach-1749039638,Samsung
Honor 400 5G - 256GB - 12GB RAM - Midnight Black,"21,299EGP","37,500EGP",https://www.mobilaty.com/en/honor-400-5g-256gb-12gb-ram-midnight-black,Honor
Nothing Phone 3a Pro - 256GB - 12GB Ram - Black,"33,999EGP","28,500EGP",https://www.mobilaty.com/en/nothing-phone-3a-pro-256gb-12gb-ram-black,NOTHING
Nothing Phone 3a - 256GB - 12GB Ram - Black,"24,999EGP","28,500EGP",https://www.mobilaty.com/en/nothing-phone-3a-256gb-12gb-ram-black,NOTHING
Nothing Phone 3a - 256GB - 12GB Ram - White,"24,999EGP","28,500EGP",https://www.mobilaty.com/en/nothing-phone-3a-256gb-12gb-ram-white,NOTHING
Nothing Phone 3a - 256GB - 12GB Ram - Blue,"24,999EGP","22,500EGP",https://www.mobilaty.com/en/nothing-phone-3a-256gb-12gb-ram-blue,NOTHING
Nothing Phone 3a - 128GB - 8GB Ram - White,"19,999EGP","26,999EGP",https://www.mobilaty.com/en/nothing-phone-3a-128gb-8gb-ram-white,NOTHING
Honor 400 5G - 512GB - 12GB RAM - Meteor silver,"23,299EGP","26,999EGP",https://www.mobilaty.com/en/honor-400-5g-256gb-12gb-ram-meteor-silver-1752742705,Honor
Honor 400 5G - 512GB - 12GB RAM - Midnight Black,"23,299EGP",,https://www.mobilaty.com/en/honor-400-5g-512gb-12gb-ram-midnight-black-1758442177,Honor
Honor 400 Pro 5G - 512GB - 12GB RAM - Tidal Blue,"34,999EGP","39,999EGP",https://www.mobilaty.com/en/honor-400-pro-5g-256gb-12gb-ram-tidal-blue,Honor
HONOR Magic7 Pro - 512GB - 12GB RAM - Lunar shadow Grey,"56,666EGP","63,000EGP",https://www.mobilaty.com/en/honor-magic7-pro-512gb-12gb-ram-lunar-shadow-grey,Honor
Honor X6c - 128GB - 6GB RAM - Midnight Black,"5,820EGP","6,750EGP",https://www.mobilaty.com/en/honor-x6c-256gb-6gb-ram-midnight-black-1752666329,Honor
Realme Note 60 - 128GB - 4GB RAM - Voyage Blue,"6,299EGP","7,350EGP",https://www.mobilaty.com/en/realme-note-60-128gb-4gb-ram-voyage-blue,Realme
Realme P1 Pro 5G - 256GB - 8GB RAM - Parrot Blue,"16,960EGP","19,400EGP",https://www.mobilaty.com/en/realme-p1-pro-5g-256gb-8gb-ram-parrot-blue,Realme
Realme 14 5G - 256GB - 12GB - Storm Titanium,"17,999EGP","21,500EGP",https://www.mobilaty.com/en/realme-14-5g-256gb-12gb-storm-titanium,Realme
Redmi Note 13 - 128GB - 6GB RAM - Blue,"8,499EGP","9,730EGP",https://www.mobilaty.com/en/redmi-note-13-128gb-6gb-ram-blue,Xiaomi
Redmi Note 13 - 128GB - 6GB RAM - Black,"8,499EGP","9,730EGP",https://www.mobilaty.com/en/redmi-note-13-128gb-6gb-ram-black,Xiaomi
Redmi Note 14 Pro - 256GB - 8GB RAM - Ocean Blue,"14,499EGP","16,550EGP",https://www.mobilaty.com/en/redmi-note-14-pro-256gb-8gb-ram-ocean-blue,Xiaomi
Redmi Note 14 Pro - 512GB - 12GB RAM - Aurora Purple,"17,499EGP","20,220EGP",https://www.mobilaty.com/en/redmi-note-14-pro-512gb-12gb-ram-aurora-purple,Xiaomi
Redmi Note 14 Pro+ 5G - 256GB - 12GB RAM - Lavender Purple,"21,999EGP","25,350EGP",https://www.mobilaty.com/en/redmi-note-14-pro-5g-256gb-lavender-purple,Xiaomi
Redmi Note 14 Pro+ 5G -512GB - 12GB RAM - Midnight Black,"23,999EGP","27,999EGP",https://www.mobilaty.com/en/redmi-note-14-pro-5g-512gb-midnight-black,Xiaomi
Redmi Note 14 Pro+ 5G - 512GB - 12GB RAM - Lavender Purple,"23,999EGP","27,999EGP",https://www.mobilaty.com/en/redmi-note-14-pro-5g-512gb-lavender-purple,Xiaomi
Samsung Galaxy S25 - 256GB - 12GB RAM - Icyblue,"43,200EGP","49,999EGP",https://www.mobilaty.com/en/samsung-galaxy-s25-256gb-12gb-ram-icyblue,Samsung
Samsung Galaxy S25 Ultra - 512GB - 12GB RAM - Titanium Silver Blue,"71,250EGP","84,000EGP",https://www.mobilaty.com/en/samsung-galaxy-s25-ultra-256gb-12gb-ram-titanium-silver-blue-1740055444,Samsung
Samsung Galaxy S25 Ultra - 512GB - 12GB RAM - Titanium Black,"71,250EGP","84,000EGP",https://www.mobilaty.com/en/samsung-galaxy-s25-ultra-512gb-12gb-ram-titanium-black,Samsung
Redmi A3 - 128GB - 4GB RAM - Forest Green,"4,999EGP","5,700EGP",https://www.mobilaty.com/en/redmi-a3-128gb-4gb-ram-forest-green,Xiaomi
itel P55 Plus - 256GB - 8GB RAM - Black,"6,199EGP","7,199EGP",https://www.mobilaty.com/en/itel-p55-plus-256gb-8gb-ram-black,Xiaomi
itel S23 - 128GB - 4GB RAM - Black,"4,750EGP","5,510.5EGP",https://www.mobilaty.com/en/itel-s23-128gb-4gb-ram-black,Xiaomi
itel S23 - 128GB - 8GB RAM - Black,"5,250EGP","5,999EGP",https://www.mobilaty.com/en/itel-s23-128gb-8gb-ram-black,Xiaomi
Redmi A3 - 64GB - 3GB RAM - Midnight Black,"4,299EGP","5,150EGP",https://www.mobilaty.com/en/redmi-a3-64gb-3gb-ram-midnight-black-1722260480,Xiaomi
Redmi 13 - 128GB - 8GB RAM - Ocean Blue,"6,899EGP","7,895EGP",https://www.mobilaty.com/en/redmi-13-128gb-8gb-ram-ocean-blue,Xiaomi
Redmi A5 - 64GB - 4GB RAM -Sandy Gold,"4,399EGP","4,850EGP",https://www.mobilaty.com/en/redmi-a5-64gb-4gb-ram-sandy-gold,Xiaomi
INOI A75 Elegance 256GB - 6GB RAM - Black,"7,999EGP","9,299EGP",https://www.mobilaty.com/en/inoi-a75-elegance-256gb-6gb-ram-black,INOI
Honor 90 Lite 5G - 256GB - 8GB RAM - Titanium Silver,"11,999EGP","14,340EGP",https://www.mobilaty.com/en/honor-90-lite-5g-256gb-8gb-ram-titanium-silver,Honor
Honor 200 Pro - 512GB - 12GB RAM - Moon Light White,"33,000EGP","39,300EGP",https://www.mobilaty.com/en/honor-200-pro-512gb-12gb-ram-moon-light-white,Honor
Honor 200 5G - 512GB - 12GB RAM - Black,"25,999EGP","29,300EGP",https://www.mobilaty.com/en/honor-200-5g-512gb-12gb-ram-black-1746438563,Honor
Honor X6a - 128GB - 4GB RAM - Midnight Black,"6,699EGP","7,700EGP",https://www.mobilaty.com/en/honor-x6a-128gb-4gb-ram-midnight-black,Honor
Xiaomi 15T - 256GB - 12GB RAM - Gray,"24,999EGP","28,599EGP",https://www.mobilaty.com/en/xiaomi-15t-256gb-12gb-ram-rose-gray,Xiaomi
Xiaomi 15T - 256GB - 12GB RAM - Gray + Redmi Watch 5 Active Promo,"24,999EGP","28,599EGP",https://www.mobilaty.com/en/xiaomi-15t-256gb-12gb-ram-rose-gray-1759323006,Xiaomi
Oppo A5 - 128GB - 6GB RAM - Mist white,"8,490EGP","9,800EGP",https://www.mobilaty.com/en/oppo-a5-128gb-6gb-ram-mist-white,Oppo
Oppo A5i - 128GB - 4GB RAM - Starry Purple,"6,590EGP","7,590EGP",https://www.mobilaty.com/en/oppo-a5i-128gb-4gb-ram-starry-purple,Oppo
Oppo A6 Pro - 256GB - 8GB RAM - Stellar Blue,"14,990EGP","17,250EGP",https://www.mobilaty.com/en/oppo-a6-pro-256gb-8gb-ram-stellar-blue,Oppo
Redmi 12 - 128GB - 8GB RAM - Sky Blue - Made in Egypt,"7,199EGP","8,450EGP",https://www.mobilaty.com/en/xiaomi-redmi-12-128gb-8gb-ram-sky-blue,Xiaomi
Redmi 12 - 256GB - 8GB RAM - Sky Blue - Made in Egypt,"7,850EGP","9,050EGP",https://www.mobilaty.com/en/redmi-12-256gb-8gb-ram-sky-blue,Xiaomi
Samsung Galaxy A56 5G - 128GB - 8GB RAM - Awesome Graphite,"21,110EGP","23,999EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-128gb-8gb-ram-awesome-graphite,Samsung
Samsung Galaxy A56 5G - 128GB - 8GB RAM - Awesome Pink,"21,110EGP","23,999EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-256gb-8gb-ram-awesome-pink-1749717820-1749719048,Samsung
Motorola Moto G85 5G - 256GB - 12GB RAM - Urban Grey,"13,850EGP","15,900EGP",https://www.mobilaty.com/en/motorola-moto-g85-5g-256gb-12gb-ram-urban-grey,Motorola
Samsung Galaxy A17 - 4G - 128GB - 4GB RAM - Black,"7,375EGP","8,599EGP",https://www.mobilaty.com/en/samsung-galaxy-a17-4g-128gb-4gb-ram-black,Samsung
Vivo V60 5G - 256GB - 12GB RAM - Gray,"25,990EGP","29,999EGP",https://www.mobilaty.com/en/vivo-v60-5g-256gb-12gb-ram-gray,Vivo
Vivo V60 5G - 512GB - 12GB RAM - Gold,"27,990EGP","31,999EGP",https://www.mobilaty.com/en/vivo-v60-5g-512gb-12gb-ram-gold,Vivo
Samsung Galaxy A05s - 128GB - 6GB RAM - Light Violet,"6,320EGP","7,250EGP",https://www.mobilaty.com/en/samsung-galaxy-a05s-128gb-6gb-ram-light-violet,Samsung
Samsung Galaxy M55 5G - 128GB - 8GB RAM - Light Green,"16,660EGP","19,560EGP",https://www.mobilaty.com/en/samsung-galaxy-m55-5g-128gb-8gb-ram-light-green,Samsung
Samsung Galaxy A26 5G - 128GB - 6GB RAM - White,"12,499EGP","14,100EGP",https://www.mobilaty.com/en/samsung-galaxy-a26-5g-128gb-6gb-ram-white,Samsung
Samsung Galaxy A26 5G - 128GB - 6GB RAM - Peach Pink,"12,499EGP","14,100EGP",https://www.mobilaty.com/en/samsung-galaxy-a26-5g-128gb-6gb-ram-pink,Samsung
Apple iPhone 16 Pro - 128GB - Black Titanium,"73,199EGP","83,499EGP",https://www.mobilaty.com/en/apple-iphone-16-pro-128gb-black-titanium,Apple
Apple iPhone 16 Pro - 256GB - Black Titanium,"79,799EGP","90,899EGP",https://www.mobilaty.com/en/apple-iphone-16-pro-256gb-black-titanium,Apple
Apple iPhone 16 - 128GB - Black,"53,450EGP","64,000EGP",https://www.mobilaty.com/en/apple-iphone-16-128gb-black,Apple
Apple iPhone 16 - 128GB - White,"53,450EGP","64,000EGP",https://www.mobilaty.com/en/apple-iphone-16-128gb-white,Apple
Apple iPhone 16 - 256GB - White,"65,450EGP","72,999EGP",https://www.mobilaty.com/en/apple-iphone-16-128gb-white-1747891194,Apple
